FilePath,File,Class,Duration,Origin,Set
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/94201054.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201054_0_1.54.wav,BottlenoseDolphin,1.539075630252101,Watkins Marine Mammals,Test
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/9420104U.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104U_0_0.9.wav,BottlenoseDolphin,0.9024579831932772,Watkins Marine Mammals,Test
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/5600600A.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/5600600A_0_1.18.wav,BottlenoseDolphin,1.180990099009901,Watkins Marine Mammals,Test
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/9420105K.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105K_0_2.16.wav,BottlenoseDolphin,2.161701680672269,Watkins Marine Mammals,Test
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/9420106P.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106P_0_0.58.wav,BottlenoseDolphin,0.5798319327731093,Watkins Marine Mammals,Test
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/94201073.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201073_0_0.27.wav,BottlenoseDolphin,0.2705882352941176,Watkins Marine Mammals,Test
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/84228001.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228001_0_0.95.wav,BottlenoseDolphin,0.95390625,Watkins Marine Mammals,Test
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/9420105I.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105I_0_0.7.wav,BottlenoseDolphin,0.6995798319327731,Watkins Marine Mammals,Test
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/9420104P.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104P_0_1.59.wav,BottlenoseDolphin,1.593781512605042,Watkins Marine Mammals,Test
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/56006004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/56006004_0_1.23.wav,BottlenoseDolphin,1.2278547854785478,Watkins Marine Mammals,Test
