FilePath,File,Class,Duration,Origin,Set
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_180.0_183.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033005.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_66.0_69.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_207.0_210.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_198.0_201.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033003.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_21.0_24.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033003.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_240.0_243.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_27.0_30.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033005.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_252.0_255.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_321.0_324.0.wav,BottlenoseDolphin,1.953775,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033005.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_39.0_42.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033005.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_165.0_168.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/89514004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514004_0_1.5.wav,BottlenoseDolphin,1.5,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/56006006.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/56006006_0_1.1.wav,BottlenoseDolphin,1.0966336633663367,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_177.0_180.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/84228A03.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228A03_0_1.12.wav,BottlenoseDolphin,1.125,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033005.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_114.0_117.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033003.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_168.0_171.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_195.0_198.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/94201051.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201051_0_1.55.wav,BottlenoseDolphin,1.5460714285714283,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033005.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_195.0_198.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033005.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_180.0_183.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/9420107M.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420107M_0_1.45.wav,BottlenoseDolphin,1.449579831932773,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033003.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_234.0_237.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033005.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_300.0_303.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_282.0_285.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_72.0_75.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/90033005.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_186.0_189.0.wav,BottlenoseDolphin,3.0,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/94201077.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201077_0_0.33.wav,BottlenoseDolphin,0.3285714285714285,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/9420105D.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105D_0_1.23.wav,BottlenoseDolphin,1.2312605042016809,Watkins Marine Mammals,Train
../../Dataset/Audios/Watkins Marine Mammals/Full/BottlenoseDolphin/9420106U.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106U_0_1.3.wav,BottlenoseDolphin,1.2997899159663866,Watkins Marine Mammals,Train
