SegmentedAudioPath,OriginalAudioPath,StartSecond,EndSecond,StartSample,EndSample,Class
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-27_23-59-24_3.0_3.0.wav,../Dataset/Audios/Full/channelA_2024-05-27_23-59-24.wav,3.0,3.0,768001,1024000,Breath1KHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-27_23-59-24_4.0_4.0.wav,../Dataset/Audios/Full/channelA_2024-05-27_23-59-24.wav,4.0,4.0,1024001,1280000,CLICK
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-27_23-59-24_9.0_10.0.wav,../Dataset/Audios/Full/channelA_2024-05-27_23-59-24.wav,9.0,10.0,2304001,2816000,Breath1KHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-27_23-59-24_13.0_13.0.wav,../Dataset/Audios/Full/channelA_2024-05-27_23-59-24.wav,13.0,13.0,3328001,3584000,CLICK
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-27_23-59-24_14.0_15.0.wav,../Dataset/Audios/Full/channelA_2024-05-27_23-59-24.wav,14.0,15.0,3584001,4096000,Breath1KHz
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-27_23-59-24_40.0_42.0.wav,../Dataset/Audios/Full/channelA_2024-05-27_23-59-24.wav,40.0,42.0,10240001,11008000,Breath1KHz
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-27_23-59-24_53.0_53.0.wav,../Dataset/Audios/Full/channelA_2024-05-27_23-59-24.wav,53.0,53.0,13568001,13824000,Breath1KHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-00-24_5.0_5.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-00-24.wav,5.0,5.0,1280001,1536000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-00-24_12.0_12.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-00-24.wav,12.0,12.0,3072001,3328000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-00-24_39.0_40.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-00-24.wav,39.0,40.0,9984001,10496000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-00-24_46.0_46.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-00-24.wav,46.0,46.0,11776001,12032000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-00-24_49.0_49.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-00-24.wav,49.0,49.0,12544001,12800000,CLICK
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-00-24_58.0_59.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-00-24.wav,58.0,59.0,14848001,15360000,Breath1KHz
../Dataset/Audios/SegmentedAudios/UNKNOWN3_BUBBLE_1kHz/channelA_2024-05-28_00-01-24_35.0_36.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-01-24.wav,35.0,36.0,8960001,9472000,UNKNOWN3_BUBBLE_1kHz
