SegmentedAudioPath,OriginalAudioPath,StartSecond,EndSecond,Class
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-25-24_14.0_14.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-25-24.wav,14.0,14.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-25-24_17.0_17.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-25-24.wav,17.0,17.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-25-24_46.0_46.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-25-24.wav,46.0,46.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-26-24_16.0_17.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,16.0,17.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-26-24_19.0_19.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,19.0,19.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-26-24_27.0_27.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,27.0,27.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-26-24_30.0_30.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,30.0,30.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-27-24_1.0_2.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,1.0,2.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-27-24_4.0_5.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,4.0,5.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-27-24_19.0_20.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,19.0,20.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-27-24_23.0_24.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,23.0,24.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-27-24_35.0_35.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,35.0,35.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-27-24_38.0_42.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,38.0,42.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-27-24_44.0_44.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,44.0,44.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-28-24_8.0_9.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-28-24.wav,8.0,9.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-29-24_28.0_29.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-29-24.wav,28.0,29.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-29-24_44.0_44.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-29-24.wav,44.0,44.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-29-24_46.0_46.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-29-24.wav,46.0,46.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-30-24_1.0_2.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-30-24.wav,1.0,2.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-30-24_28.0_28.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-30-24.wav,28.0,28.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-30-24_43.0_44.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-30-24.wav,43.0,44.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-30-24_59.0_59.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-30-24.wav,59.0,59.0,Batida
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-26-24_0.0_1.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,0.0,1.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-26-24_9.0_10.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,9.0,10.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-26-24_20.0_21.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,20.0,21.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-26-24_31.0_38.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,31.0,38.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-26-24_40.0_40.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,40.0,40.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-26-24_42.0_43.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,42.0,43.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-26-24_46.0_46.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,46.0,46.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-26-24_49.0_50.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,49.0,50.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-27-24_4.0_10.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,4.0,10.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-27-24_12.0_24.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,12.0,24.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-27-24_27.0_32.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,27.0,32.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-27-24_45.0_46.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,45.0,46.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-27-24_48.0_48.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,48.0,48.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-27-24_52.0_1.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,52.0,1.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-28-24_10.0_13.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-28-24.wav,10.0,13.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-28-24_16.0_18.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-28-24.wav,16.0,18.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-28-24_24.0_25.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-28-24.wav,24.0,25.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-28-24_40.0_42.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-28-24.wav,40.0,42.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-28-24_44.0_45.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-28-24.wav,44.0,45.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-28-24_50.0_50.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-28-24.wav,50.0,50.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-29-24_19.0_20.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-29-24.wav,19.0,20.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-30-24_6.0_7.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-30-24.wav,6.0,7.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-30-24_17.0_20.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-30-24.wav,17.0,20.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-31-24_26.0_26.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-31-24.wav,26.0,26.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-32-24_29.0_30.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-32-24.wav,29.0,30.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicksRapidaCascabel/channelA_2024-05-28_01-26-24_56.0_56.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-26-24.wav,56.0,56.0,BatidaClicksRapidaCascabel
../Dataset/Audios/SegmentedAudios/BatidaClicksRapidaCascabel/channelA_2024-05-28_01-27-24_10.0_10.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-27-24.wav,10.0,10.0,BatidaClicksRapidaCascabel
