SegmentedAudioPath,OriginalAudioPath,StartSecond,EndSecond,Class
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-24-24_19.0_25.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-24-24.wav,19.0,25.0,Batida
../Dataset/Audios/SegmentedAudios/Batida/channelA_2024-05-28_01-24-24_58.0_59.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-24-24.wav,58.0,59.0,Batida
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-24-24_0.0_0.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-24-24.wav,0.0,0.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-24-24_5.0_5.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-24-24.wav,5.0,5.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-24-24_13.0_15.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-24-24.wav,13.0,15.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicks/channelA_2024-05-28_01-24-24_20.0_23.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-24-24.wav,20.0,23.0,BatidaClicks
../Dataset/Audios/SegmentedAudios/BatidaClicksRapidaCascabel/channelA_2024-05-28_01-28-24_7.0_8.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-28-24.wav,7.0,8.0,BatidaClicksRapidaCascabel
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_02-34-24_15.0_16.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_02-34-24.wav,15.0,16.0,Breath1KHz
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_01-24-24_32.0_33.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_01-24-24.wav,32.0,33.0,Breath1KHz
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-55-24_40.0_42.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-55-24.wav,40.0,42.0,Breath1KHz
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-46-24_3.0_3.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-46-24.wav,3.0,3.0,Breath1KHz
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-46-24_7.0_9.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-46-24.wav,7.0,9.0,Breath1KHz
