FilePath,SegmentPath,BottlenoseDolphin,CommonDolphin,Grampus_Risso'sDolphin,HarborPorpoise,KillerWhale,Long_FinnedPilotWhale,StripedDolphin,Background
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201054_0_1.54.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201054_0_1.54.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104U_0_0.9.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104U_0_0.9.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/5600600A_0_1.18.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/5600600A_0_1.18.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105K_0_2.16.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105K_0_2.16.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106P_0_0.58.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106P_0_0.58.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201073_0_0.27.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201073_0_0.27.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228001_0_0.95.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228001_0_0.95.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105I_0_0.7.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105I_0_0.7.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104P_0_1.59.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104P_0_1.59.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/56006004_0_1.23.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/56006004_0_1.23.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514014_0_1.3.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514014_0_1.3.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104J_0_0.96.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104J_0_0.96.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105E_0_1.29.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105E_0_1.29.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104Y_0_1.74.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104Y_0_1.74.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201059_0_1.42.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201059_0_1.42.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514016_0_1.3.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514016_0_1.3.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228A0K_0_0.71.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228A0K_0_0.71.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104V_0_0.96.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104V_0_0.96.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420107D_0_0.22.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420107D_0_0.22.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201072_0_0.38.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201072_0_0.38.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201067_0_0.9.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201067_0_0.9.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104T_0_0.62.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104T_0_0.62.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201070_0_0.25.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201070_0_0.25.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106X_0_0.71.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106X_0_0.71.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/5600600G_0_0.74.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/5600600G_0_0.74.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104Z_0_1.6.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104Z_0_1.6.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228002_0_1.13.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228002_0_1.13.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105M_0_1.57.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105M_0_1.57.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514015_0_1.3.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514015_0_1.3.wav,1,0,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801401D_0_1.06.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801401D_0_1.06.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702603L_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702603L_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700301R_0_1.74.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700301R_0_1.74.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801300Y_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801300Y_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702605F_0_1.42.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702605F_0_1.42.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702600K_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702600K_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700302N_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700302N_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801301E_0_2.79.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801301E_0_2.79.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500303E_0_0.42.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500303E_0_0.42.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604L_0_2.61.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604L_0_2.61.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801400R_0_2.02.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801400R_0_2.02.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702603H_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702603H_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801403V_0_1.47.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801403V_0_1.47.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702601G_0_1.56.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702601G_0_1.56.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702606J_0_1.14.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702606J_0_1.14.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702603L_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702603L_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801300Y_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801300Y_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/58014048_0_2.02.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/58014048_0_2.02.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604C_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604C_0.0_3.0.wav,0,1,0,0,0,0,0,0
