file,start_time,end_time,BottlenoseDolphin,CommonDolphin,Grampus_Risso'sDolphin,HarborPorpoise,KillerWhale,Long_FinnedPilotWhale,StripedDolphin,Background
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_180.0_183.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_66.0_69.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_207.0_210.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_198.0_201.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_21.0_24.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_240.0_243.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_27.0_30.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_252.0_255.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_321.0_324.0.wav,0,1.953775,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_39.0_42.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_165.0_168.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514004_0_1.5.wav,0,1.5,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/56006006_0_1.1.wav,0,1.0966336633663367,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_177.0_180.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228A03_0_1.12.wav,0,1.125,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_114.0_117.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_168.0_171.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_195.0_198.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201051_0_1.55.wav,0,1.5460714285714283,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_195.0_198.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_180.0_183.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420107M_0_1.45.wav,0,1.449579831932773,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_234.0_237.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_300.0_303.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_282.0_285.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_72.0_75.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_186.0_189.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201077_0_0.33.wav,0,0.3285714285714285,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105D_0_1.23.wav,0,1.2312605042016809,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106U_0_1.3.wav,0,1.2997899159663866,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_264.0_267.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_297.0_300.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104C_0_1.27.wav,0,1.267016806722689,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_288.0_291.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201079_0_0.65.wav,0,0.6474789915966387,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_177.0_180.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_273.0_276.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_78.0_81.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_321.0_324.0.wav,0,1.953775,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_183.0_186.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201057_0_1.04.wav,0,1.042373949579832,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_219.0_222.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106K_0_0.83.wav,0,0.8309243697478992,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_168.0_171.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420107C_0_0.57.wav,0,0.5701680672268907,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_174.0_177.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_159.0_162.0.wav,0,3.0,True,False,False,False,False,False,False,False
